,0
0,Vernon
1,Lakewood
2,Marietta
3,Compton
4,Decatur
5,Newark
6,Oxnard
7,Orlando
8,Chicago
9,Charlotte
10,Holland
11,Ronkonkoma
12,South San Francisco
13,Philadelphia
14,San Leandro
15,Buffalo
16,Belle Isle
17,Marina del Rey
18,Montréal
19,Hoboken
20,Cincinnati
21,Centre
22,Waltham
23,Morgantown
24,Northfield
25,Oakton
26,Riviera Beach
27,Chesapeake Beach
28,Kaanapali
29,Prior Lake
30,Norfolk
31,Montgomery
32,Jupiter
33,Hilton Head Island
34,Clearwater Beach
35,Honolulu
36,Peoria
37,Key West
38,Sunnyside-Tahoe City
39,Charleston
40,Fort Walton Beach
41,Jersey City
42,Wasilla
43,San Carlos
44,Austin
45,Ketchikan
46,Odessa
47,Belmar
48,League City
49,Newport
50,Orange Beach
51,Brampton
52,Wimberley
53,Melbourne
54,Eastvale
55,Newville
56,West Milford
57,Barrington
58,Newberg
59,Biloxi
60,Troy
61,Wilson
62,Hazelwood
63,Jacksonville
64,Raleigh
65,Fairfield
66,Paramount
67,Apex
68,Hibbing
69,Mount Vernon
70,Chesterfield
71,Taylorsville
72,Miami
73,Steubenville
74,Winston Salem
75,Knoxville
76,Fort Lauderdale
77,Kings Park
78,Santa Clarita
79,Grovetown
80,Kapolei
81,Tallahassee
82,Aurora
83,San Dimas
84,San Francisco
85,Savannah
86,Bettsville
87,Roswell
88,Lexington
89,Humble
90,Norway
91,Farmington
92,Oak Park
93,Burbank
94,St. Clairsville
95,South Milwaukee
96,Fort Myers
97,Midland
98,Ridgeland
99,Lewes
100,Shelby
101,Cullman
102,Edison
103,Muskegon
104,Loveland
105,Rome
106,Cambridge
107,Salt Lake City
108,Thousand Oaks
109,Canton
110,Tomball
111,Bakersfield
112,Oxford
113,Middlesborough
114,West Palm Beach
115,San Antonio
116,Staunton
117,White Oak
118,Enid
119,Simi Valley
120,Oberlin
121,Tuscaloosa
122,Ticonderoga
123,Marion
124,Saint Cloud
125,Dayton
126,Waterloo
127,Janesville
128,Hackensack
129,Drexel Hill
130,Port Orchard
131,Voorhees
132,Fairmont
133,Greensboro
134,Bridgeview
135,Campbell River
136,Hartford
137,Elkton
138,Metairie
139,South Miami
140,Durham
141,Edina
142,Stephenville
143,Lady Lake
144,Nacogdoches
145,Modesto
146,Yelm
147,Medford
148,Riverside
149,Beverly Hills
150,Poplar Bluff
151,Davison
152,Elbow Lake
153,Greenwich
154,Fountain Hills
155,Reno
156,Centennial
157,Toronto
158,Westmont
159,Murfreesboro
160,Spartanburg
161,Columbus
162,Round Rock
163,Sandwich
164,Ogden
165,Pinellas Park
166,Blue Springs
167,Lake Murray of Richland
168,Lenoir
169,Tarboro
170,Suwanee
171,Key Largo
172,Chandler
173,Audubon
174,Haslet
175,Louisville
176,Benton
177,San Gabriel
178,Leisure World
179,Grande Prairie
180,San Jose
181,Moraga
182,Glen Rock
183,Houston
184,Palo Alto
185,Pittsburgh
186,East Walpole
187,Sherbrooke
188,Bolton
189,Springdale
190,Vista
191,Grand Bend
192,Indianapolis
193,Newaygo
194,Barnesville
195,Elmont
196,Greensburg
197,Cordova
198,Bayside
199,Moberly
200,Hurricane
201,Missoula
202,Palmer
203,Miramar Beach
204,Baton Rouge
205,La Valle
206,Naples
207,Gainesville
208,Murrieta
209,Pasadena
210,Sparks
211,Oak Brook
212,Bellwood
213,Unadilla
214,Point Pleasant
215,Santa Fe
216,Atlanta
217,Richmond
218,Temecula
219,Bronx
220,Manhasset
221,Phoenix
222,Cedarhurst
223,Brooklyn
224,Needville
225,Oklahoma City
226,Rowland Heights
227,Northampton
228,Sugar Land
229,Millers Creek
230,Upland
231,Waterford
232,Spring
233,Clinton
234,Davie
235,Meadows of Dan
236,Mission Viejo
237,Ford City
238,Groves
239,Kansas City
240,Wilmington
241,San Marcos
242,Leeds
243,Northridge
244,Ventura
245,Marco Island
246,Granada Hills
247,New York
248,Waipahu
249,Carle Place
250,Massillon
251,Wentzville
252,Memphis
253,Naperville
254,Birmingham
255,Desert Palms
256,Ramblewood
257,Jamaica
258,Landover
259,Garland
260,Springfield
261,Culver City
262,San Mateo
263,Arlington
264,Portland
265,National City
266,Harrison
267,Henderson
268,Buckhannon
269,Dallas
270,Le Center
271,Las Vegas
272,Cumberland
273,Anaheim
274,Sunnyvale
275,Lockhart
276,Arcata
277,Boston
278,Salem
279,Lakeway
280,Indian Trail
281,Broomall
282,Marysville
283,Lake Park
284,Santa Rosa
285,Muskego
286,Leroy
287,Summerdale
288,Prairie du Chien
289,Broadlands
290,New Prague
291,Staten Island
292,Pacific Palisades
293,Winnipeg
294,Kailua
295,Tampa
296,North Richland Hills
297,Flushing
298,Sarasota Springs
299,Calgary
300,Eureka
301,Tysons
302,East Elmhurst
303,Lake Forest
304,State College
305,Los Angeles
306,North Brunswick
307,Hurst
308,Woods Cross
309,Jessup
310,Long Island City
311,Lafayette
312,McHenry
313,Cameron Park
314,Minerva
315,North Washington
316,East Machias
317,Cypress
318,Walton
319,Albuquerque
320,Cape Vincent
321,Fort Mcmurray
322,Crystal Lake
323,Apple Valley
324,Leon Valley
325,San Diego
326,Hewitt
327,Jackson
328,York
329,Laguna Niguel
330,West Pleasant View
331,Citrus Heights
332,Lancaster
333,Woodburn
334,San Bernardino
335,Port Chester
336,Saint Louis
337,Santa Barbara
338,Bergen
339,Ashland City
340,Palm Springs
341,North Miami Beach
342,Vidalia
343,Omaha
344,Plano
345,Oak Ridge
